ID,NombreProducto,NoImportacion
3726,ARETES HOJA ESMERALDA,KE
4901,ARETES MARIPOSA ESMERALDA,KE
4900,ARETES ROSA PURPURA,KE
5503,ARETES ESTRELLA NEGRO,KE
5898,RELOJ TOMMY T230 NEGRO,KME
4899,COLLAR ALAS DE ANGEL,KE
4898,COLLAR PERLAS SISNEY,KE
5502,ARETES TREVOL EMERALDA,KE
2973,TRATAMIENTO GOTAS RESCATE,KRE
2491,RELOJ SKMEI 1251,DE
4897,COLLAR ROUS AJUSTABLE,KE
3225,PLANTILLAS ORTOPEDICAS,DE
5537,ARETES HOJA ESMERALDA,KE
6011,RELOJ POEDEGAR 908,KME
5208,COLLAR PERLAS SISNEY,KE
5205,ARETES MARIPOSA ESMERALDA,KE
5206,ARETES ROSA PURPURA,KE
4397,COMBO 2 RELOJES X 59.90,DE
5207,COLLAR ALAS DE ANGEL,KE
4414,RELOJ GSHOCK OAK METAL PLATA,DE
6009,RELOJ REWARD FONDO NEGRO,KME
5900,RELOJ POEDEGAR 916 AZUL,KME
5209,COLLAR ROUS AJUSTABLE,KE
3728,COLLAR GIRASOL GIRATORIO,KE
3472,RELOJ GSHOCK OAK METAL NEGRO,DE
5896,RELOJ SKMEI 1389,KME
5543,ARETES ESTRELLA NEGRO,KE
5542,ARETES TREVOL EMERALDA,KE
6105,RELOJ POEDEGAR 908,KME
3713,TRATAMIENTO GOTAS RESCATE,KRE
5895,RELOJ SKMEI 1251 ORIGINAL,KME
3490,RELOJ GSHOCK PROTREK NEGRO,DE
6008,RELOJ NF8054 PLATA,KME
6007,RELOJ NF8054 ORO ROSA,KME
5964,CURREN 005,DE
5545,PLANTILLAS ORTOPEDICAS,DE
3731,RELOJ GSHOCK OAK METAL CAFE,DE
3729,RELOJ GSHOCK OAK METAL DORADO,DE
3715,RELOJ G SHOCK CASIO 2100,DE
3730,RELOJ GSHOCK OAK METAL VERDE,DE
6010,RELOJ REWARD FONDO BLANCO,KME
5965,CURREN SUPREMO ROJO,DE
3712,RELOJ GSHOCK OAK METAL NEGRO,DE
5536,RELOJ GSHOCK PROTREK NEGRO,DE
2974,RELOJ CUADRADO G-SHOCK NEGRO,DE
2497,RELOJ SANDA 739 NEGRO,DE
5544,RELOJ GSHOCK DIGITAL VERDE,DE
3725,RELOJ GSHOCK DIGITAL VERDE,DE
5899,REOJ WlISTH 6144,KME
5897,RELOJ ONALA ON3809,KME
5534,RELOJ GSHOCK OAK METAL CAFE,DE
3714,RELOJ G-SHOK GBD 200,DE
6106,RELOJ SKMEI 1389,KME
5535,RELOJ GSHOCK OAK METAL DORADO,DE
5533,RELOJ GSHOCK OAK METAL VERDE,DE
3491,RELOJ GSHOCK PROTREK METAL,DE
3474,RELOJ G-SHOK GBD 200,DE
3473,RELOJ G SHOCK CASIO 2100,DE
2738,SANDA 739 VERDE,KE
6101,RELOJ SKMEI 1251,DE
5686,RELOJ SKMEI 1251 NEGRO,DE
5538,RELOJ GSHOCK OAK METAL PLATA,DE
4700,RELOJ SANDA 739 + REGALO,DE
3727,COLLLAR SAN MIGUEL,EDE
3262,GARANTIA TEMPUS,EE
3228,RELOJ G SHOCK GBA 001,EE
3227,RELOJ G SHOCK CASIO 2100,EE
3226,RELOJ POEDEGAR,EE
2499,CURREN DORADO 8555 AZUL,EE
2498,RELOJ CUERO IMPERIAL,EE
2496,CURREN PLATEADO 8555 PLATEADO,EE
2495,CURREN SUPREMO AZUL,EE
2494,CURREN SUPREMO NARANJA,EE
2493,CURREN SUPREMO NEGRO,EE
2492,CURREN SUPREMO BLANCO,EE
4726,collar san miguel-a -ed (ID Stock: 4726 x 1),EE
4726,COLLAR SAN MIGUEL,EDE
4727,COLLAR GIRASOL GIRATORIO,EDE
5902,RELOJ VINTAJE PLATEADO FONDO NEGRO,EDE
5349,RELOJ SMARTWATCH INDESTRUCTIBLE,EDE
5609,CAJAS DE RELOJES,EE
4729,RELOJ SANDA 739 NEGRO,EE
5228,COLLAR SAN MIGUEL,EDE
4745,RELOJ SANDA 3002 NEGRO,EE
5229,COLLAR GIRASOL GIRATORIO,EDE
4820,RELOJ SKMEI 1274,EE
4730,RELOJ SANDA 739 PLATEADO,EE
4914,RELOJ CURREN 8442 AZUL OSCURO,EE
4864,RELOJ SKEMEI 1868,EE
5029,RELOJ POEDEGAR CORREA CUERO,EE
5901,RELOJ VINTAJE NEGRO,EDE
4919,RELOJ SANDA 739 NEGRO,EE
4913,RELOJ SKMEI 1611 NEGRO,EE
4917,RELOJ SKMEI 1274,EE
4892,RELOJ SANDA 3002 NEGRO,EE
4915,RELOJ CURREN 8442 NEGRO,EE
4921,RELOJ POEDEGAR CORREA CUERO,EE
5539,RELOJ SMARTWATCH INDESTRUCTIBLE,EDE
4920,RELOJ SKMEI 1611 PLATEADO,EE
4747,RELOJ SKMEI 1611 PLATEADO,EE
5949,RELOJ VINTAJE PLATEADO FONDO NEGRO,EDE
5541,RELOJ CURREN 8442 AZUL OSCURO,EE
5739,RELOJ SKMEI 1251 NEGRO,DE
5345,RELOJ SMARTWATCH RICHARD,EE
5022,RELOJ CURREN CUERO IMPERIAL,EE
5134,RELOJ POEDEGAR 916,EE
5030,RELOJ SKMEI 1611 NEGRO,EE
4819,RELOJ FOXBOX 0048,EE
4746,RELOJ POEDEGAR CORREA METAL,EE
5608,RELOJ SKMEI 1251 NEGRO,DE
4918,RELOJ POEDEGAR CORREA METAL,EE
5564,RELOJ SKEMEI 1868,EE
5532,RELOJ FOXBOX 0048,EE
5530,RELOJ CURREN AZUL PLATEADO,EE
5129,RELOJ GSHOCK CASIO 2100,EE
5021,RELOJ CURREN 8442 NARANJA,EE
4869,RELOJ POEDEGAR 613,EE
4728,RELOJ SANDA 739 VERDE,EE
5929,RELOJ VINTAJE PLATEADO FONDO AZUL,EDE
5531,RELOJ POEDEGAR 613,EE
5950,RELOJ VINTAJE NEGRO,EDE
5442,GARANTIA RELOJERIA ECU,EE
4916,RELOJ SANDA 6016 NEGO,EE
4834,RELOJ GSHOCK CASIO 2100,EE
4731,RELOJ SANDA 6016 NEGO,EE
5948,RELOJ VINTAJE PLATEADO FONDO AZUL,EDE
5133,RELOJ CURREN AZUL PLATEADO,EE
5020,RELOJ CURREN 8442 BLANCO,EE
6244,RELOJ SANDA 739 PLATEADO,EE
6243,RELOJ CURREN 8442 NEGRO,EE
6242,RELOJ CURREN 8442 NARANJA,EE
5559,ARETES ESTRELLA,EE
5540,RELOJ SMARTWATCH RICHARD,EE
5529,RELOJ POEDEGAR 916,EE
5353,COLLAR FLORES,EE
5352,COLLAR PERLAS CISNE,EE
5351,ARETES CANASTA,EE
5350,COLLAR ALAS DE  ANGEL,EE
5348,ARETES ESTRELLA,EE
5347,ARETES TREVOL,EE
5346,ARETES MARIPOSA,EE
5028,RELOJ SANDA 3002 NEGRO,EE
5027,RELOJ SANDA 3002 NEGRO,EE
4835,RELOJ GSHOK GBD 200,EE
